employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score
65027,Procurement,region_24,Masters & above,m,other,2,32,3.0,7,0,0,71
3487,Procurement,region_31,Masters & above,f,other,1,40,3.0,10,0,0,70
44163,Procurement,region_17,Bachelors,m,sourcing,1,47,3.0,5,0,0,72
54684,Operations,region_26,Bachelors,f,sourcing,1,31,4.0,4,0,0,61
54821,Procurement,region_5,Bachelors,f,sourcing,1,30,1.0,5,0,0,68
64184,HR,region_2,Bachelors,m,sourcing,1,27,3.0,1,1,0,47
65390,R&D,region_2,Masters & above,m,other,2,42,3.0,13,1,0,87
5349,Operations,region_22,Masters & above,f,other,1,51,5.0,6,0,0,56
765,Operations,region_29,Masters & above,m,sourcing,1,44,3.0,6,1,0,63
21114,Legal,region_7,Below Secondary,m,sourcing,1,26,,1,1,0,58
27666,Sales & Marketing,region_25,Bachelors,m,sourcing,1,31,5.0,7,1,0,50
57511,Procurement,region_2,Bachelors,f,other,1,36,5.0,5,1,0,69
802,Procurement,region_24,Bachelors,f,other,1,28,3.0,4,0,0,67
50903,Procurement,region_20,Masters & above,m,sourcing,1,40,3.0,5,0,0,68
51297,Sales & Marketing,region_26,Masters & above,m,other,1,44,5.0,5,1,0,50
35730,Operations,region_26,Bachelors,f,other,1,32,3.0,7,0,0,62
70562,Procurement,region_2,Bachelors,f,sourcing,1,39,4.0,5,1,0,73
40593,Procurement,region_2,Masters & above,f,sourcing,1,50,4.0,15,0,0,70
59368,Operations,region_22,Bachelors,f,sourcing,1,31,5.0,5,1,0,62
61216,Finance,region_32,Bachelors,m,other,1,30,4.0,8,1,0,62
15521,Procurement,region_2,Masters & above,m,sourcing,1,49,1.0,7,0,0,69
11240,Sales & Marketing,region_16,Bachelors,m,sourcing,1,37,5.0,4,0,0,47
24589,Procurement,region_2,Bachelors,m,sourcing,1,52,5.0,7,1,0,70
3415,Finance,region_2,Bachelors,f,sourcing,1,43,3.0,4,0,0,62
67320,HR,region_11,Bachelors,f,other,1,31,4.0,5,0,0,50
10035,Operations,region_2,Masters & above,m,sourcing,2,44,5.0,7,1,0,61
5362,Sales & Marketing,region_9,Masters & above,m,other,1,32,3.0,7,0,0,47
55561,Operations,region_5,Bachelors,f,other,1,38,3.0,9,0,0,58
14386,Finance,region_4,Bachelors,f,other,1,34,5.0,5,0,0,69
12415,Procurement,region_26,Bachelors,m,sourcing,1,30,4.0,4,0,0,70
57254,Operations,region_4,Bachelors,m,other,1,28,3.0,2,1,0,63
57576,Operations,region_2,Bachelors,m,sourcing,2,50,3.0,14,0,0,59
52709,Operations,region_2,Bachelors,m,other,1,40,3.0,9,0,0,60
55430,Finance,region_2,Masters & above,m,sourcing,1,54,5.0,18,1,0,61
36088,Analytics,region_31,Bachelors,m,sourcing,1,31,3.0,2,0,0,84
23323,Sales & Marketing,region_24,Masters & above,m,other,1,31,3.0,4,1,0,52
19894,Technology,region_22,Bachelors,m,referred,2,27,,1,1,0,81
51036,Operations,region_26,Bachelors,m,other,1,34,3.0,9,0,0,60
34327,Procurement,region_10,Bachelors,f,other,1,28,,1,1,0,68
33678,Sales & Marketing,region_15,Masters & above,m,other,2,35,3.0,3,0,0,53
52202,Sales & Marketing,region_22,Masters & above,m,other,3,39,3.0,3,1,0,54
8767,Sales & Marketing,region_15,Bachelors,m,other,1,30,2.0,7,0,0,56
74104,Procurement,region_17,Bachelors,m,sourcing,2,32,3.0,6,0,0,67
11259,HR,region_2,Bachelors,m,referred,1,25,3.0,2,0,0,51
11621,Operations,region_22,Masters & above,f,other,1,50,4.0,15,1,0,58
71756,Operations,region_15,Bachelors,m,sourcing,1,23,1.0,2,0,0,58
47286,Procurement,region_13,Bachelors,f,other,1,34,3.0,9,0,0,68
29800,Sales & Marketing,region_2,Masters & above,m,sourcing,1,40,5.0,6,1,0,49
71328,Operations,region_4,Bachelors,m,other,1,29,3.0,5,1,0,55
32595,Sales & Marketing,region_15,Bachelors,m,other,1,34,1.0,6,0,0,49
72304,Operations,region_2,Bachelors,m,sourcing,1,34,5.0,7,1,0,59
4214,Operations,region_22,Masters & above,m,other,1,46,3.0,13,0,0,59
5809,Operations,region_2,Bachelors,m,other,1,58,3.0,26,1,0,64
63200,Sales & Marketing,region_4,Bachelors,m,sourcing,3,25,3.0,2,1,0,50
47459,Technology,region_22,Bachelors,f,sourcing,3,27,4.0,4,0,0,85
36992,Technology,region_31,Bachelors,f,sourcing,1,31,2.0,5,1,0,79
